Date,Flow ID,Flow Name,Message ID,Message Name,Message Channel,Status,Total Recipients,Total Delivered,Unique Opens,Unique Clicks,Unique Unsubscribes,Bounces,Total Opens,Total Apple Privacy Opens,Unique Apple Privacy Opens,Open Rate,Total Clicks,Click Rate,Total Unsubscribes,Spam Complaints,Unsubscribe Rate,Bounce Rate,Spam Complaints Rate,Total Placed Order,Avg Placed Order,Unique Placed Order,Avg Unique Placed Order,Total Placed Order Value,Avg Placed Order Value,Placed Order Rate,Revenue Per Recipient (RPR),Tags,Message Status,Region,Persona
Sep 20 2025 - Mar 20 2026,WTDsCf,CA_Onboarding,TFUXbJ,CA_Trigger_Marketing_Onboarding_J3,Email,Live,"23,422","23,281","11,173","1,177",48,141,"15,802","10,607","7,966",47.99%,"1,643",5.06%,48,6,0.21%,0.60%,0.03%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, CA, Onboarding",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,WTDsCf,CA_Onboarding,UeiKsX,CA_Trigger_Marketing_Onboarding_J4,Email,Live,"19,766","19,701","8,035",572,53,65,"10,944","8,191","6,287",40.79%,787,2.90%,53,3,0.27%,0.33%,0.02%,3,1.00,3,1,"1,154.00",384.67,0.02%,0.06,"Marketing, CA, Onboarding",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,TcGUAP,CA_PriceDrop,YzYz8g,CA_Trigger_Marketing_PriceDrop,Email,Live,"18,346","18,317","8,348","2,703",7,29,"17,147","10,967","5,860",45.58%,"4,390",14.76%,7,2,0.04%,0.16%,0.01%,30,1.15,26,1,"6,960.00",232.00,0.14%,0.38,"Marketing, CA",live,CA,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,RrKXmj,DE_Trigger_Marketing_Abandon_Browse_Touch1,Email,Live,"27,984","27,919","8,879","1,540",9,65,"26,856","17,901","6,362",31.80%,"2,597",5.52%,9,2,0.03%,0.23%,0.01%,55,1.02,54,1,"23,734.76",431.54,0.19%,0.85,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,X6Wp5t,DE_Trigger_Marketing_Abandon_Browse_Touch1-Sale,Email,Live,"19,774","19,683","7,178","1,669",11,91,"18,137","12,117","5,041",36.47%,"2,996",8.48%,11,1,0.06%,0.46%,0.01%,112,1.03,109,1,"35,808.66",319.72,0.55%,1.82,"Marketing, EU, DE",live,DE,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,XBsAjy,DE_Trigger_Marketing_Abandon_Browse_Touch1-Sale_3Recs,Email,Live,1,1,1,1,0,0,1,1,1,100.00%,1,100.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,XS3GfD,DE_Trigger_Marketing_Abandon_Browse_Touch1-Sale_3Recs,Email,Live,1,1,1,0,0,0,1,1,1,100.00%,0,0.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,U34Ub4,DE_Trigger_Marketing_Abandon_Browse_Touch1-Sale_6Recs,Email,Live,1,1,1,1,0,0,2,2,1,100.00%,3,100.00%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,Vtc2aT,DE_Trigger_Marketing_Abandon_Browse_Touch1_3Recs,Email,Live,"1,113","1,113",624,62,0,0,"1,184",824,456,56.07%,81,5.57%,0,0,0.00%,0.00%,0.00%,2,1.00,2,1,285.72,142.86,0.18%,0.26,"Marketing, EU, DE",deleted,DE,#N/A
Sep 20 2025 - Mar 20 2026,UDBRVd,DE_AbandonBrowse,Wmqv6i,DE_Trigger_Marketing_Abandon_Browse_Touch1_3Recs,Email,Live,404,404,249,25,0,0,372,252,175,61.63%,29,6.19%,0,0,0.00%,0.00%,0.00%,0,0.00,0,0,0.00,0.00,0.00%,0.00,"Marketing, EU, DE",deleted,DE,#N/A
